artists.items.0.followers.total,artists.items.0.genres.0,artists.items.0.genres.1,artists.items.0.genres.2,artists.items.0.genres.3,artists.items.0.genres.4,artists.items.0.genres.5,artists.items.0.genres.6,artists.items.0.genres.7,artists.items.0.genres.8,artists.items.0.genres.9,artists.items.0.id,artists.items.0.name,artists.items.0.popularity
3166283,pop,pop rap,r&b,rap,uk contemporary r&b,urban contemporary,,,,,7HkdQ0gt53LP4zmHsL0nap,Ella Mai,77
39328892,detroit hip hop,hip hop,rap,,,,,,,,7dGJo4pcD2V6oG8kP0tJRR,Eminem,94
89059,alternative r&b,art pop,chillwave,dance pop,electropop,escape room,etherpop,pop dance,shimmer pop,shiver pop,5QuBVnBPEzwYvFrgBbwpmU,Empress Of,62
1693537,dance pop,gangster rap,hip hop,hip pop,pop rap,r&b,rap,trap,urban contemporary,,0YWxKQj2Go9CGHCp77UOyy,Fabolous,74
2057017,chicago rap,drill,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,vapor trap,,0WOxhx4hikIsyF3CRPLC8W,Famous Dex,70
910189,bronx hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,hip pop,pop rap,rap,trap,,3ScY9CQxNLQei8Umvpx5g6,Fat Joe,73
3924170,new jersey rap,pop rap,rap,southern hip hop,trap,,,,,,6PXS4YHDkKvl1wkIl4V8DL,Fetty Wap,77
231993,brooklyn drill,new york drill,rap,trap,,,,,,,14CHVeJGrR5xgUGQFV5BVM,Fivio Foreign,75
749434,hip hop,melodic rap,pop rap,rap,southern hip hop,trap,vapor trap,,,,2HUwZ0kumzCSlhFcjFZfpp,Flipp Dinero,71
6685278,alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop,,,,,,2h93pZq0e7k5yf4dywlkpM,Frank Ocean,87
320349,gospel,,,,,,,,,,2ndyVAdV9UqF1XjyTJt484,Fred Hammond,59
3715093,hip hop,pop rap,rap,southern hip hop,trap,,,,,,6vXTefBL93Dj5IqAWq6OTv,French Montana,83
9510809,atl hip hop,pop rap,rap,southern hip hop,trap,,,,,,1RyvyyTE3xzB2ZywiAwp0i,Future,93
1022509,chicago drill,chicago rap,drill,rap,southern hip hop,trap,,,,,5QdEbQJ3ylBnc3gsIASAT5,G Herbo,75
4657446,hip hop,indie pop rap,oakland hip hop,pop rap,rap,,,,,,02kJSzxNuaWGqwubyUba0Z,G-Eazy,85
355448,dark clubbing,destroy techno,,,,,,,,,3hteYQFiMFbJY7wS0xDymP,Gesaffelstein,67
324594,alternative r&b,,,,,,,,,,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,79
60542,cali rap,oakland hip hop,scam rap,trap soul,underground hip hop,vapor trap,,,,,0NcPKaSNIHAM2RfioH9vMT,Guapdad 4000,67
3540406,atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,,,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,84
,,,,,,,,,,,,,
2640627,atl hip hop,melodic rap,rap,trap,,,,,,,2hlmm7s2ICUX0LVIhVFlZQ,Gunna,93
80325,gangster rap,miami hip hop,trap,,,,,,,,7cvtOrIEaUrqbGmYA9Kj34,Gunplay,53
3098778,alternative r&b,pop,r&b,,,,,,,,3Y7RZ31TRPVadSFVy1o8os,H.E.R.,83
12740700,dance pop,electropop,etherpop,indie poptimism,pop,pop dance,post-teen pop,,,,26VFTg2z8YR0cCuwLzESi2,Halsey,91
12740700,dance pop,electropop,etherpop,indie poptimism,pop,pop dance,post-teen pop,,,,26VFTg2z8YR0cCuwLzESi2,Halsey,91
225465,uk hip hop,,,,,,,,,,6UCQYrcJ6wab6gnQ89OJFh,Headie One,81
28655,cali rap,rap,,,,,,,,,6q3p11nP1p80Ey6LrOOSed,Hit-Boy,69
759256,melodic rap,pop rap,rap,southern hip hop,trap,,,,,,6extd4B6hl8VTmnlhpl2bY,Huncho Jack,66
831776,melodic rap,pop rap,,,,,,,,,6ASri4ePR7RlsvIQgWPJpS,iann dior,91
5180499,australian hip hop,dance pop,hip pop,pop,pop dance,pop rap,post-teen pop,,,,5yG7ZAZafVaAlMTeBybKAL,Iggy Azalea,76
162750,pop rap,rap,trap,,,,,,,,6MPCFvOQv5cIGfw3jODMF0,Internet Money,89
24003890,latin,reggaeton,reggaeton colombiano,,,,,,,,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,98
12029852,conscious hip hop,hip hop,north carolina hip hop,rap,,,,,,,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,89
330063,nyc rap,,,,,,,,,,2eqoJbzUGDwys5ENUkbT3h,J.I the Prince of N.Y,74
5406,,,,,,,,,,,0vaKiuLwFJLVU664A8GTjE,Jace,60
502154,deep underground hip hop,kentucky hip hop,pop rap,rap,,,,,,,2LIk90788K0zvyj2JJVwkJ,Jack Harlow,85
333448,rap,trap,,,,,,,,,7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,77
1769029,atl hip hop,dance pop,pop,pop r&b,pop rap,r&b,rap,urban contemporary,,,4tMm1dU6Gn04VAZ9ClHcIZ,Jacquees,75
,,,,,,,,,,,,,
1769029,atl hip hop,dance pop,pop,pop r&b,pop rap,r&b,rap,urban contemporary,,,4tMm1dU6Gn04VAZ9ClHcIZ,Jacquees,75
