_id,artists.href,artists.items.0.external_urls.spotify,artists.items.0.followers.href,artists.items.0.followers.total,artists.items.0.genres.0,artists.items.0.genres.1,artists.items.0.genres.2,artists.items.0.genres.3,artists.items.0.genres.4,artists.items.0.genres.5,artists.items.0.genres.6,artists.items.0.genres.7,artists.items.0.genres.8,artists.items.0.genres.9,artists.items.0.href,artists.items.0.id,artists.items.0.images.0.height,artists.items.0.images.0.url,artists.items.0.images.0.width,artists.items.0.images.1.height,artists.items.0.images.1.url,artists.items.0.images.1.width,artists.items.0.images.2.height,artists.items.0.images.2.url,artists.items.0.images.2.width,artists.items.0.images.3.height,artists.items.0.images.3.url,artists.items.0.images.3.width,artists.items.0.name,artists.items.0.popularity,artists.items.0.type,artists.items.0.uri,artists.limit,artists.next,artists.offset,artists.previous,artists.total
5fbc5c471790a7e7ff55ca2d,https://api.spotify.com/v1/search?query=ha&type=artist&offset=0&limit=1,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,,12740700,dance pop,electropop,etherpop,indie poptimism,pop,pop dance,post-teen pop,,,,https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2,26VFTg2z8YR0cCuwLzESi2,640,https://i.scdn.co/image/1ccc88afcd13131dc35a1bd028922dbc748a55fb,640,320,https://i.scdn.co/image/8b56979f115e855301c33828bcad2c57280adbab,320,160,https://i.scdn.co/image/ac0a244c45f25b7d177bbe629c30565fe0768f14,160,,,,Halsey,91,artist,spotify:artist:26VFTg2z8YR0cCuwLzESi2,1,https://api.spotify.com/v1/search?query=ha&type=artist&offset=1&limit=1,0,,10000
5fbc5c471790a7e7ff55ca2e,https://api.spotify.com/v1/search?query=halsey&type=artist&offset=0&limit=1,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,,12740700,dance pop,electropop,etherpop,indie poptimism,pop,pop dance,post-teen pop,,,,https://api.spotify.com/v1/artists/26VFTg2z8YR0cCuwLzESi2,26VFTg2z8YR0cCuwLzESi2,640,https://i.scdn.co/image/1ccc88afcd13131dc35a1bd028922dbc748a55fb,640,320,https://i.scdn.co/image/8b56979f115e855301c33828bcad2c57280adbab,320,160,https://i.scdn.co/image/ac0a244c45f25b7d177bbe629c30565fe0768f14,160,,,,Halsey,91,artist,spotify:artist:26VFTg2z8YR0cCuwLzESi2,1,https://api.spotify.com/v1/search?query=halsey&type=artist&offset=1&limit=1,0,,53
5fbc5c471790a7e7ff55ca2f,https://api.spotify.com/v1/search?query=headie+one&type=artist&offset=0&limit=1,https://open.spotify.com/artist/6UCQYrcJ6wab6gnQ89OJFh,,225465,uk hip hop,,,,,,,,,,https://api.spotify.com/v1/artists/6UCQYrcJ6wab6gnQ89OJFh,6UCQYrcJ6wab6gnQ89OJFh,640,https://i.scdn.co/image/334fc2728dbd443b03f288fd2f9dcac40f883a94,640,320,https://i.scdn.co/image/dd347ab95e22e7a242b463d3e07806327d2d1858,320,160,https://i.scdn.co/image/6d6251e0941a34e7801d354b7f8aa1099d893ef4,160,,,,Headie One,81,artist,spotify:artist:6UCQYrcJ6wab6gnQ89OJFh,1,,0,,1
5fbc5c471790a7e7ff55ca30,https://api.spotify.com/v1/search?query=hit-boy&type=artist&offset=0&limit=1,https://open.spotify.com/artist/6q3p11nP1p80Ey6LrOOSed,,28655,cali rap,rap,,,,,,,,,https://api.spotify.com/v1/artists/6q3p11nP1p80Ey6LrOOSed,6q3p11nP1p80Ey6LrOOSed,640,https://i.scdn.co/image/de6fbe5bc8da586b6d37ad4965db202e21c8017c,640,320,https://i.scdn.co/image/3c42339ba8edb3a4c5bced0715ebfa68c86e892f,320,160,https://i.scdn.co/image/3334dd6d2486c7e8108ebea4698e0834e25f785f,160,,,,Hit-Boy,69,artist,spotify:artist:6q3p11nP1p80Ey6LrOOSed,1,https://api.spotify.com/v1/search?query=hit-boy&type=artist&offset=1&limit=1,0,,28
5fbc5c471790a7e7ff55ca31,https://api.spotify.com/v1/search?query=huncho+jack&type=artist&offset=0&limit=1,https://open.spotify.com/artist/6extd4B6hl8VTmnlhpl2bY,,759256,melodic rap,pop rap,rap,southern hip hop,trap,,,,,,https://api.spotify.com/v1/artists/6extd4B6hl8VTmnlhpl2bY,6extd4B6hl8VTmnlhpl2bY,640,https://i.scdn.co/image/ab67616d0000b273631973893e94d01cfcdf0e5e,640,300,https://i.scdn.co/image/ab67616d00001e02631973893e94d01cfcdf0e5e,300,64,https://i.scdn.co/image/ab67616d00004851631973893e94d01cfcdf0e5e,64,,,,Huncho Jack,66,artist,spotify:artist:6extd4B6hl8VTmnlhpl2bY,1,https://api.spotify.com/v1/search?query=huncho+jack&type=artist&offset=1&limit=1,0,,2
5fbc5c481790a7e7ff55ca32,https://api.spotify.com/v1/search?query=iann+dior&type=artist&offset=0&limit=1,https://open.spotify.com/artist/6ASri4ePR7RlsvIQgWPJpS,,831776,melodic rap,pop rap,,,,,,,,,https://api.spotify.com/v1/artists/6ASri4ePR7RlsvIQgWPJpS,6ASri4ePR7RlsvIQgWPJpS,640,https://i.scdn.co/image/0af59dc69f23f2844102eb3ccd5c0c00de792b0a,640,320,https://i.scdn.co/image/89061249f9f2dff25a40165abf6c7bdd8bcd7fe1,320,160,https://i.scdn.co/image/030f4c63fbc852b8c5dbb2e291b6432e5acea5fe,160,,,,iann dior,91,artist,spotify:artist:6ASri4ePR7RlsvIQgWPJpS,1,,0,,1
5fbc5c481790a7e7ff55ca33,https://api.spotify.com/v1/search?query=iggy+azalea&type=artist&offset=0&limit=1,https://open.spotify.com/artist/5yG7ZAZafVaAlMTeBybKAL,,5180499,australian hip hop,dance pop,hip pop,pop,pop dance,pop rap,post-teen pop,,,,https://api.spotify.com/v1/artists/5yG7ZAZafVaAlMTeBybKAL,5yG7ZAZafVaAlMTeBybKAL,640,https://i.scdn.co/image/dbce20d627064b91f531570967dd0ba36f5d32f8,640,320,https://i.scdn.co/image/b0a9017e621e7d2cb1e8040d16df10e0376ef14e,320,160,https://i.scdn.co/image/4b346ae65a80fac012154abf2d7d7982c4630c9b,160,,,,Iggy Azalea,76,artist,spotify:artist:5yG7ZAZafVaAlMTeBybKAL,1,,0,,1
5fbc5c481790a7e7ff55ca34,https://api.spotify.com/v1/search?query=internet+money&type=artist&offset=0&limit=1,https://open.spotify.com/artist/6MPCFvOQv5cIGfw3jODMF0,,162750,pop rap,rap,trap,,,,,,,,https://api.spotify.com/v1/artists/6MPCFvOQv5cIGfw3jODMF0,6MPCFvOQv5cIGfw3jODMF0,640,https://i.scdn.co/image/46ebec0de8627170636e59876af3ac4a72f94216,640,320,https://i.scdn.co/image/ddb19b1ac915e295dc8244259c9405cd01a97a5f,320,160,https://i.scdn.co/image/0e66c17e656b63d6be8f372de83eac52e5be5450,160,,,,Internet Money,89,artist,spotify:artist:6MPCFvOQv5cIGfw3jODMF0,1,,0,,1
5fbc5c491790a7e7ff55ca35,https://api.spotify.com/v1/search?query=j+balvin&type=artist&offset=0&limit=1,https://open.spotify.com/artist/1vyhD5VmyZ7KMfW5gqLgo5,,24003890,latin,reggaeton,reggaeton colombiano,,,,,,,,https://api.spotify.com/v1/artists/1vyhD5VmyZ7KMfW5gqLgo5,1vyhD5VmyZ7KMfW5gqLgo5,640,https://i.scdn.co/image/c197cd71445eedb25326f490130581b0718def85,640,320,https://i.scdn.co/image/56cda30c090dd68c58f1643b40ad0500b4748c0c,320,160,https://i.scdn.co/image/42312d4a548658e9b17d9512481e8b524f503d64,160,,,,J Balvin,98,artist,spotify:artist:1vyhD5VmyZ7KMfW5gqLgo5,1,https://api.spotify.com/v1/search?query=j+balvin&type=artist&offset=1&limit=1,0,,5
5fbc5c491790a7e7ff55ca36,https://api.spotify.com/v1/search?query=j.+cole&type=artist&offset=0&limit=1,https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5,,12029852,conscious hip hop,hip hop,north carolina hip hop,rap,,,,,,,https://api.spotify.com/v1/artists/6l3HvQ5sa6mXTsMTB19rO5,6l3HvQ5sa6mXTsMTB19rO5,640,https://i.scdn.co/image/c58beb81196bbdda378b6746c51a10aace2f63a6,640,320,https://i.scdn.co/image/83ca0c5fcb501018a41994f8778772240c3a4cac,320,160,https://i.scdn.co/image/ff24214a2e41e0d0a4621b35c53e0573c2c6a65e,160,,,,J. Cole,89,artist,spotify:artist:6l3HvQ5sa6mXTsMTB19rO5,1,https://api.spotify.com/v1/search?query=j.+cole&type=artist&offset=1&limit=1,0,,474
5fbc5c491790a7e7ff55ca37,https://api.spotify.com/v1/search?query=j.i+the+prince+of+n.y&type=artist&offset=0&limit=1,https://open.spotify.com/artist/2eqoJbzUGDwys5ENUkbT3h,,330063,nyc rap,,,,,,,,,,https://api.spotify.com/v1/artists/2eqoJbzUGDwys5ENUkbT3h,2eqoJbzUGDwys5ENUkbT3h,640,https://i.scdn.co/image/6f6e63accb6a8a74c267630f4443f717103455b4,640,320,https://i.scdn.co/image/700ea51df49dafbfd4d18d67d5e277e2fb4fe55e,320,160,https://i.scdn.co/image/528c38c9b61d599cca96252fc70b0866caf17f03,160,,,,J.I the Prince of N.Y,74,artist,spotify:artist:2eqoJbzUGDwys5ENUkbT3h,1,https://api.spotify.com/v1/search?query=j.i+the+prince+of+n.y&type=artist&offset=1&limit=1,0,,2
