artist,community,num_neighbors,num_similar_neighbor,num_nonsimilar_neighbor,prob_similar,centrality,num,weeks_mean,peak_mean
Lil Baby,4,59.0,36.0,23.0,0.6101694915254238,0.20068027210884354,44,7.068181818181818,25.068181818181817
T.I.,0,63.0,37.0,26.0,0.5873015873015873,0.21428571428571427,1,1.0,40.0
Money Man,1,8.0,4.0,4.0,0.5,0.027210884353741496,1,13.0,17.0
Tory Lanez,4,38.0,18.0,20.0,0.4736842105263158,0.1292517006802721,11,7.7272727272727275,30.545454545454547
Lil Dicky,3,4.0,1.0,3.0,0.25,0.013605442176870748,1,20.0,5.0
Trippie Redd,4,40.0,21.0,19.0,0.525,0.13605442176870747,16,4.1875,32.875
Halsey,3,9.0,5.0,4.0,0.5555555555555556,0.030612244897959183,3,10.666666666666666,8.333333333333334
Lil Xan,4,6.0,4.0,2.0,0.6666666666666666,0.020408163265306117,0,,
Wiz Khalifa,4,58.0,19.0,39.0,0.3275862068965517,0.19727891156462585,3,3.6666666666666665,29.0
Internet Money,4,20.0,14.0,6.0,0.7,0.06802721088435372,4,5.0,25.75
Static Major,0,2.0,2.0,0.0,1.0,0.006802721088435374,1,3.0,28.0
Rae Sremmurd,1,18.0,11.0,7.0,0.6111111111111112,0.061224489795918366,3,10.666666666666666,32.333333333333336
Carnage,5,12.0,4.0,8.0,0.3333333333333333,0.040816326530612235,1,1.0,49.0
Miguel,0,23.0,15.0,8.0,0.6521739130434783,0.0782312925170068,3,9.666666666666666,32.0
Iggy Azalea,1,4.0,2.0,2.0,0.5,0.013605442176870748,0,,
Takeoff,1,17.0,7.0,10.0,0.4117647058823529,0.057823129251700675,1,3.0,27.0
Wale,0,52.0,32.0,20.0,0.6153846153846154,0.17687074829931973,2,12.0,28.0
Big Sean,0,66.0,32.0,34.0,0.4848484848484849,0.22448979591836732,11,4.181818181818182,27.818181818181817
Huncho Jack,1,4.0,3.0,1.0,0.75,0.013605442176870748,2,2.5,31.0
Rihanna,0,19.0,15.0,4.0,0.7894736842105263,0.06462585034013606,2,18.0,14.0
Kodak Black,1,36.0,13.0,23.0,0.3611111111111111,0.12244897959183673,10,11.6,23.7
Offset,1,46.0,23.0,23.0,0.5,0.1564625850340136,12,12.416666666666666,20.833333333333332
BlocBoy JB,4,13.0,9.0,4.0,0.6923076923076923,0.04421768707482993,3,7.666666666666667,33.0
Bastille,5,1.0,1.0,0.0,1.0,0.003401360544217687,0,,
J.I the Prince of N.Y,4,1.0,1.0,0.0,1.0,0.003401360544217687,0,,
21 Savage,1,37.0,18.0,19.0,0.4864864864864865,0.12585034013605442,27,5.148148148148148,21.88888888888889
9lokknine,4,3.0,3.0,0.0,1.0,0.010204081632653059,1,20.0,17.0
Bhad Bhabie,4,5.0,4.0,1.0,0.8,0.01700680272108843,1,2.0,39.0
PHresher,4,6.0,3.0,3.0,0.5,0.020408163265306117,0,,
Lil Pump,1,21.0,9.0,12.0,0.42857142857142855,0.07142857142857142,6,6.333333333333333,29.0
Yo Gotti,4,53.0,22.0,31.0,0.4150943396226415,0.18027210884353745,3,16.333333333333332,22.0
Lil Mosey,4,13.0,11.0,2.0,0.8461538461538461,0.04421768707482993,0,,
Fabolous,0,44.0,29.0,15.0,0.6590909090909091,0.14965986394557826,1,3.0,17.0
Swae Lee,1,30.0,13.0,17.0,0.43333333333333335,0.1020408163265306,10,10.2,25.8
Key Glock,1,5.0,3.0,2.0,0.6,0.01700680272108843,1,1.0,47.0
Meek Mill,0,67.0,28.0,39.0,0.41791044776119396,0.22789115646258504,20,6.15,28.85
Rick Ross,0,72.0,43.0,29.0,0.5972222222222222,0.24489795918367346,6,5.833333333333333,28.5
Lil Skies,4,12.0,10.0,2.0,0.8333333333333334,0.040816326530612235,7,6.142857142857143,37.57142857142857
Anuel AA,3,11.0,5.0,6.0,0.4545454545454545,0.037414965986394565,1,3.0,17.0
Bryson Tiller,1,14.0,5.0,9.0,0.35714285714285715,0.047619047619047616,2,1.5,30.5
Jagged Edge,0,11.0,7.0,4.0,0.6363636363636364,0.037414965986394565,1,1.0,48.0
Kali Uchis,2,5.0,2.0,3.0,0.4,0.01700680272108843,1,12.0,41.0
Kiana Ledé,4,7.0,5.0,2.0,0.7142857142857143,0.023809523809523808,0,,
Fivio Foreign,4,16.0,12.0,4.0,0.75,0.054421768707482984,3,1.3333333333333333,28.0
Blac Youngsta,4,28.0,18.0,10.0,0.6428571428571429,0.09523809523809523,1,5.0,43.0
Skepta,1,5.0,2.0,3.0,0.4,0.01700680272108843,1,8.0,22.0
Daniel Caesar,2,3.0,3.0,0.0,1.0,0.010204081632653059,2,16.0,36.5
Gunplay,0,13.0,9.0,4.0,0.6923076923076923,0.04421768707482993,1,1.0,50.0
Kehlani,2,25.0,9.0,16.0,0.36,0.08503401360544217,6,8.166666666666666,31.166666666666668
Kid Cudi,0,16.0,13.0,3.0,0.8125,0.054421768707482984,2,8.0,8.0
